registrable,favicon_md5,favicon_sha256
kotakbank.com,def00c11b1596db4efee6a9fbe64fc27,95c427fa3143b1896faf42a6406686ce7602cb39052081bb32d12b51c9e047e4
wipro.com,d343cd8d97bcde522db104f0ebf19044,f4b7fd9b945d0e45a3928a0b4c47103b0577428b3a83aa5450691b86e256ea58
arunachalpradesh.gov.in,6e7210276bfa604d36b610140ca5d507,5a0aa9242e2cbb5a080006271dc08ed369b583ffda880b42b0339e08cfefda13
chandigarh.gov.in,7a4659d14ae75420d3e849fcc95bd378,d66eb44a0888a3f736e3a39cb1baa1ffd0c2fba63670458c5866c15a798eb24d
dnh.gov.in,92ad84f6b8cfafe0bd79051a45fa37ad,7834ca953a4ed77064f85e555cc1cd606fdf472aca6033196db584e2a7e3e40d
assam.gov.in,4f6da84debf8af3f372aa57c54df0574,9aebb9c0c3b5a5267ea73a432c30380c2fe3b9d14d0e2427c7456ad026d1b4d5
fssai.gov.in,fa412c773e732d43e146a9303d5924ff,200f11cd2d09ce8f3d14b21ba3ec6299f97c927203f4300dae8a29eb916fc20c
cert-in.org.in,a445420727d0661026c63aa36191e243,b24d7bdfaf62a932f2e01777e97c8061010d120af3815752123ec27b8536f2d6
irdai.gov.in,bb789a0c0bf3438833f601042be4eb54,678f43adcf805acf1d5b4f3ebc2dd29e27ab23612a4482d05918c69afe5e58da
manipur.gov.in,c014b9153f4f6ee4896933799837a890,d806e8c82228a9b51a69587b6db6be6c27db040a8a8e82717add6ff25539ea4a
meghalaya.gov.in,00c289ba07be371e939aa92a56cc2b7f,3ba88249aab8986e39c1c18ac44cecb4258bb43afd87dea4adde8880df9ae472
maharashtra.gov.in,0e9ce4a6f37609ff5596a60dbc5eed95,c55783871f373fd978f144b1d9a7d01d4002dde65509a95a04256ec167a5c113
newindia.co.in,0f32eda3820269d7311212ce99e5a2be,934e59ecad6ee8cd81294812b250b13e3e24a30d53ff65007933541fd1b38ad3
nic.co.in,936002e74e86e53f60c8fe1645b94e9e,4005a0c45d07b7703b8514048c7072bad338e8e060ae0b7d3e815a43ebf9b8e3
mizoram.gov.in,cf3042959cdd1fc3d97ec594eaec8d9f,3b0e96532e6d459427070fd0b28aba35fb3a54a97a6432ba54b8c9a28524391a
nalcoindia.com,057eeb0acc852ba1da02d5cf5b62669d,60d2ccf0597071e6aa63231f132a8824920907c7da97d3e6cf6dbc23975c470d
nitc.ac.in,a3dc3126e8bcebd0deea8605157ae4e4,c52f37b9e0b2d1eee02d732b9f44206e27d21684d22b0ab6e5f4f2c140f72589
nta.ac.in,8a32b20ad1495d67a3462a1dd371af90,2d4958e8e642e66ee52cf78c4c339d5adbdecd7c5fa1bd680be9a4040115e36e
orientalinsurance.org.in,dc192abebacad230030e4af2f9578e44,c404c5936c7e4a92c2ef408d2c163dd6b1b3798b64e038c15c704b2b70fdf285
punjab.gov.in,f09bff3b01efc9fced4fa807464b53bf,c84c14292b6d7ebece09721817f8588ab4e358394d0725289bf810afe94572fd
rajasthan.gov.in,fcd32f6b3c250bd2ca37bebe0edca9f6,65b48d1d833cde168e18a2e716c127bf871e766c7d32738780a6a7c09f327cb5
mp.gov.in,0a87ebdd057a58066f457b031a217c5d,ca7ff996240d8a0fb4324737c5d5b41f1884616ee172d04823b2326d6e5f8df5
nagaland.gov.in,29d5fb005668d8b824d7083786252fd9,e7e9a528900b73ff82f9f8a95ea502b26afb9142c416fa2c85af0694dfd6799c
py.gov.in,00c46d96684f80bba586f92a4e91255e,e627f85931ed1a8ab2a8a3c7d485f8a49714f6740a3ed91b1f59b2f64cd09859
tripura.gov.in,155d25997edcb83aca9b9c158916d832,db55cf907a70ea06553457fd9c9b9945010f0ba527d8bef9327e5fd2335a40b4
bhimupi.org.in,fb73d19d9b99fd10761c01385dbc15d9,d7c5a6b0e4491e558352e046b3c34ddf99734aa66ff974675f61a955c2a4be57
aicte-india.org,e38879390071049592c7aeb6d7fa4e76,e6831b2c38f61a6eab3ab17e7dfa783b005e3b59d99fb5634d24798484e4e810
bseindia.com,4584b85b70e3927c001bbf719205a51d,3d7a879469a93c0f151c1e718ea682a1ec0eaf664fa3f356068a89938d0bd25c
epfindia.gov.in,240211bf7cb5c0af305185d1d53498db,b8f75849575c0396e5ccc4de45a0735a3ff83459784ee000b7acf7b6d9876c1c
goa.gov.in,c5bc9f3eca4c6372c68fa71543e7c264,0ba8c69a4bffd500ddf5537a61541e1e78b184beee9429aef48833b5729be900
esic.nic.in,f602eb72fe8c8cae67c3944580bc8c08,b35a249801b48fa6bb4af098e7ce0d0254e37be349d845cd28541b6e586dde9a
iitd.ac.in,628e012a5e771720a057adc0c406f5f9,44cd0aeb3e43a77a4ac048e5b9db4ffa0f7e39cb8f32c9454eee4a661ff352bb
gst.gov.in,c0d60d28cb9ef691ceb188b69003d7eb,e4c6bb2bc32eba1cffe8732461655277cfa66c15b7b2be8493771c8c160543fe
iitb.ac.in,ab8f86ed81462ae45abeeccfd59d6dc6,994781896f3c2630d1d911f3f7655357655f46890d13879c054eab0ad7266ed2
idbi.com,24f8a597e80870fc7b012a211e92c7bc,7574656a9d32fe465a5801645e9a5ff547da76018ae49cc8050bdbab67cae501
tn.gov.in,927c2d2fddf95b5fc0c0a638529ea22e,a611a90fa3ab2fbaabdca527cebb774f3e85020d18e63ff81baeac610ec676c1
sebi.gov.in,68bb092391204108a07854e818b1366b,0540b138570ec5567c6eb3d3901e6593619742d3bfe0c29e5306400fdf529b21
sikkim.gov.in,59aa94642408f3628f65424eec945b4a,533ac2d174aadd8ac03493cf811e99f460258bd58b33cbc01697f7295b231048
sjvn.nic.in,4b85a969c65a87bf920cc51c216b246f,49d9e0fa08d681749726b6f2ace2c0084679a269ac45f6c72bca4b5af9652015
recindia.nic.in,15cb4d0dd1f73ae6d24981103d338812,fbe8ed5679ba8757906c731f8173b352a7149890c5e24b50e352982262602b50
iocl.com,03eb9a65cbfd69b21b4c34ce81cfc9d4,29f9368ee3eb44f85df2ef8da53ea332df40a351f254079eabb97283818858dd
rbi.org.in,7bc1ff0d792e15a4d848badbce1651df,85ad5f29fe93b57944ad8e72f5f915da1969287e431ae5154d0564fa203a83c0
gailonline.com,3a7d55ad9dde3f4a01ecb94d83ffd885,d420696d9286ba0bc4e643901a4771b031ef4eae278317917527743a219ba0f9
unionbankofindia.co.in,4859e39ae6c0f1f428f2126a6bb32bd9,a94f8a8553caea8430dd4ca3cc01d4e318d19828f74cb65453ffb7f5d9e2f44d
licindia.in,d7b64d7f0b8cd4ce4ee27a61c1195dc0,53609db2de6cb0b7247ef2eb879aa06abb7f588ee4673025e7c54e60da74e5ea
nhpcindia.com,a935cdb72b81cde5686fc87f7302062e,98f87e8d1db0b459a966bf84d06140ce00f1ef56f7e0bd4068a6bf681abc7c00
indianbank.in,2fe63c942d89a28c684291347ea3731d,80c63c4567da533777df811d5cd413d74f1b4843d747b691bec770748506e81b
axisbank.com,3880bf2c745c6ea30e14190052f0e01d,9029d3cc38a4a41accce28541823add49dfc0640a5bb4f3628e03ccccaf6aae3
federalbank.co.in,be0ef91ad57c2679a547a8d6bd5596e1,57cd7badc46dee61a4c40914d17822f04c8d25843dfa93df32a33c54c0d90f2b
bandhanbank.com,244ce4e084e6677c940e76eeee0c4011,edb727cfa12df6b7dd10e1dd25a08f0bdbe5c89e67cdb271ea4548403803e013
idfcfirstbank.com,d81c9e6e6cd4732970701cffc9b24675,b9645afe5078aaa3587a74a9736a4bd6ff10d5bb53a66cbf442ab7ad66351585
rblbank.com,3a961cb02886cb8b85a21849d9fd60bf,cac0804e3749a8411efe3a34ac1c4a610caa82f016dd23ae1156337048d65871
cityunionbank.com,8774b989e385584788f3b8e034e761df,b12c3e711f129fb520d674ac37eab85dfc9146bbeae18cbbedaff3f3d07319b9
myvi.in,6c843eb478596f68fecae90ad6feb8b7,c08a60fe94ec399196494b9c8d52c63c86d4c3a3d1a1af6e2f84b79caf3eb814
jio.com,ceb19d15572f2fed7e7e008ca227ab6f,edecdd046c84c1e957827fdcc9a30cc260d3f5f03fdbc4cd7b78a5fb2854bb73
dot.gov.in,e9dd2797018cad79186e03e8c5aec8dc,4c4b6a3be1314ab86138bef4314dde022e600960d8689a2c8f8631802d20dab6
tatacommunications.com,927589e773f6a1602fcbd3099d0f1cae,54cc0ca9b7a117b7e2d541d5f8f667e1f86bf131741f229c167bbe1a2592811f
morth.nic.in,b3185376f0f01228707fd3ea0603f1d5,17ce494290f68fc6cd0727bf5752c9c19a934b1a5f67b6a58e96fd533cb07fbc
mahadiscom.in,5c586e322711b0031c28591b28378169,0098fa1d4c5bea4e6c2204d63b6c70c0b23c11280c8dc172a12ed295e3b56fc7
delhi.gov.in,d565261900a248a9b8e2e57df85ea87e,a30309a1fc01baeaf35bf1330f9a5e8c742596b5974086d29686f7a9f22172f3
dae.gov.in,f1fd83b5bc2ed9a3ffbfdba404836cf2,f16df88b3a4eee71ee67928958ae8a6cd181b87a81ea665fdb7a0c594cb35165
mazagondock.in,aabe5dc6165e8a8ec2ae9c0772bf7baa,dfa798177cfb8c29adc96e3d6cc1ee3c0a50fec081e0dc98f9a9ebc9255c8a92
bdl-india.in,45d3183aeeb198810b31c586a5d025c3,9d83ea01864b6ae9db8447dc259495a5f2be9f0a41fd003747b0ee17275029c2
neepco.co.in,054f8c587100268e71000e8a9bd78493,2372b0bf0fbc2ba917855908249ca69c2686f4ed627888cb2c02a271d9a25ce5
netpnb.com,d19dbdd7121c97de378c30b401833361,ad65a56c9eed9f87017a91c1951a47bf9c6ee6aa9e0808f33c6cba707d60dca6
irctc.com,86aac2c81e17e40a04ec62c7930e2b8b,f82398f8d02486e74958f58feb3d66aa0a9403436ccf853131c17fc3124fde2d
ntpc.co.in,4b79b212df634bbbcffd46231c4131ab,2ce57bac519aa467d82275e83255b816ccb4a109e3e2a7cae799ba8cb7a388cf
bankofindia.co.in,26f92866e5a2ed2e8bd52c3e1b485a72,3e1b135ef36f54d86877f026160ff70fbfa1802450919187fef4ab45bcd52571
bankofbaroda.in,c58b510450ac28d43a5cf4eb948263d2,2a7e9439fbab1db8e211dd7f98f8b5e174a89e5a240b7d86b44de20a167d2675
npcil.nic.in,aeff32ed31b47f1faba98c43d979d919,0ed1aee9f948947f66467544558f536bafa73736a7db76fe0e82d1c9f61400f9
kotak.com,03283dc7a2bf4938124f26720adf2133,b89c2039545626b4c0c622c9e6889d44a0a515f9c2e46b928464b034156614f6
indusind.com,3e0128a2aa4373f513f7b55822fe9be0,3e61d1f05513278bc00ed7cfcfbbecb9727ddae4a22b0a86c22c649d6d24eeb3
bsnl.co.in,4ce93e381c6d17a785db3af5ff5b40c5,6bf580989888cf919774834e4eb53393a3313d22f21df716a8c9ede2626d71cc
paytmbank.com,2414c460ed4a76e3ace3342cbd1dcba6,8d836aa7b9b99297d9736f254778b4641c146f8a41f7611d1ee038fa15d5acf8
railtelindia.com,94aab00ff05daca6f7342c2e77976fc0,99010d26167b46431be516f3ce16d4c25d64a24ff32fdb345ce91d773041c949
parivahan.gov.in,b1a80586028bf3ef0656623f667dbdaf,d246a82476325c60bcc26749e65b1dda1bc7dcc007a033de7fc0541a1f66dfa5
nvsp.in,1bd70df39a9b1de89a2b40d414e72bf0,d01690b0761f949711a08478dc3b5476f0d209bddf87f5c50800f8aea26eebc0
hal-india.co.in,d72a7714ea5666ffa61401ba0a506e2d,197bea4c4e175b47bff08512d9c969512a3883795acbeebeddd30f19456e16dd
bel-india.in,884dd1f45ffcd003187c7e52213ea6d2,5a010831d6188feee9344252c47c9fdadafd4d251d5d8451e926241ac34f8f47
sbiepay.sbi,7b8828c49b40257f80b3b6539a2c9813,da3c823e069dc5bf6c6457d0972d4b6f7af559d3c582ed24de39889b10b64554
yonobusiness.sbi,80be62cfbc68f6b69b88d976561e618f,014856b93a0a6979335689a62db1807cb58ba8fa36d7577e93be884d92d92727
onlinesbi.sbi,b644d3f1011397ff7eca1e98547d64d9,873751662cd96310ceaf48e9552aa8ee72608a1d61c1dec8cd1f92c5902f1118
icicidirect.com,1cc13d8dfd549d79a1855cbf658bc191,763307067e5234e413caeeeeae42948eb5fa143cf6434e6270ffd5df015525b6
hdfclife.com,2377e7cc2d8a342365ee174b2021fc58,99577e6bd0b830a3c0ec4b2144a8bf953101d5acf245ce362da5e03fbc460b39
hdfcergo.com,d6a4c3c37777ca43212bb93cfde6bb40,b4bbd70dbeacbe44b618e99c9dcf8c10a66c165de294b0759182a49f248a104d
mail.gov.in,28d19c17047b8cff14081cded0b0e30b,7bc0c5ee21d19dbe7a2b8e95f2056c7e46ae89049b7fe8ca85a14bf2d14c66a7
bobibanking.com,3aa9106890a152e3d3c07d513f995bac,11d149dace6b15dbf5d71a73f89ca802402ac410641d6326952b18c303def406
crsorgi.gov.in,8822e5658cbce6f26b84fd646ef99fe4,fb1afd27f65def3a5729d991ec0e15fee1e94b23bc33d302ff234dda6f76763a
mgovcloud.in,7509906d12d99604850a7a18f0683380,d409aa1654cf67e8bf1f93bd91cb31034a1d84ed19e5877067ed019ba04cb5e1
airtel.com,6f9b1e4969dddd01f71a3faf24c4b3e8,467843f364d4f3f21c75b6a5272682e12e2f346b39977d6f95d4ce0878a99306
